name,year,place,type,mass,coordinates,latitude,longitude
east mount magnet is a synonym for mount magnet (in nhm cat),,,,,,,
east tennessee is a synonym for morristown (in nhm cat),,,,,,,
east tennessee is a synonym for jonesboro (in nhm cat),,,,,,,
east tennessee is a synonym for tazewell (in nhm cat),,,,,,,
east tennessee is a synonym for cleveland (in nhm cat),,,,,,,
east tennessee is a synonym for cosby's creek (in nhm cat),,,,,,,
easter is a synonym for summerfield (in nhm cat),,,,,,,
easter essendy is a synonym for strathmore (in nhm cat),,,,,,,
eau claire is a synonym for hammond (in nhm cat),,,,,,,
eboliang 001 is a synonym for eboliang (first meteorite in dca),,,,,,,
echigo is a synonym for yonozu (in nhm cat),,,,,,,
echo is a synonym for salt lake city (in nhm cat),,,,,,,
ector county is a synonym for odessa (iron) (in nhm cat),,,,,,,
ector county no. 3 is a synonym for odessa (iron) (in nhm cat),,,,,,,
eddy county is a synonym for sacramento mountains (in nhm cat),,,,,,,
edmond is a synonym for dresden (kansas) (in nhm cat),,,,,,,
edo is a synonym for hachi-oji (in nhm cat),,,,,,,
eggenfelden is a synonym for mässing (in nhm cat),,,,,,,
egyptian meteorite is a synonym for sinai (in nhm cat),,,,,,,
ehrenberg is a synonym for canyon diablo (in nhm cat),,,,,,,
eibenstock is a synonym for steinbach (in nhm cat),,,,,,,
eichstätt is a synonym for eichstädt (in nhm cat),,,,,,,
eifel is a synonym for bitburg (in nhm cat),,,,,,,
ejudina is a synonym for edjudina (in nhm cat),,,,,,,
ekaterinoslav is a synonym for verkhne dnieprovsk (in nhm cat),,,,,,,
ekaterinoslav is a synonym for pavlograd (in nhm cat),,,,,,,
ekaterinoslav is a synonym for augustinovka (in nhm cat),,,,,,,
ekaterinoslav is a synonym for bachmut (in nhm cat),,,,,,,
el abipon is a synonym for campo del cielo (in nhm cat),,,,,,,
el chañaralino is a synonym for merceditas (in nhm cat),,,,,,,
el charata is a synonym for campo del cielo (from metbase),,,,,,,
el dorado county is a synonym for shingle springs (in nhm cat),,,,,,,
el garganitello is a synonym for tomatlan (in nhm cat),,,,,,,
el hacha is a synonym for campo del cielo (in nhm cat),,,,,,,
el inca is a synonym for tamarugal (in nhm cat),,,,,,,
el mataco is a synonym for campo del cielo (in nhm cat),,,,,,,
el médano 485 is a synonym for el médano 435 (duplicate meteorite),,,,,,,
el mocovi is a synonym for campo del cielo (from metbase),,,,,,,
el mocoví is a synonym for campo del cielo (in nhm cat),,,,,,,
el morito is a synonym for morito (in nhm cat),,,,,,,
el nakhla el baharia is a synonym for nakhla (in nhm cat),,,,,,,
el patio is a synonym for campo del cielo (in nhm cat),,,,,,,
el perdido is a synonym for campo del cielo (in nhm cat),,,,,,,
el quemado is a synonym for acapulco (in nhm cat),,,,,,,
el ranchito is a synonym for bacubirito (in nhm cat),,,,,,,
el rodeo is a synonym for rodeo (in nhm cat),,,,,,,
el rosario is a synonym for campo del cielo (in nhm cat),,,,,,,
el taco is a synonym for campo del cielo (in nhm cat),,,,,,,
el tlahi is a synonym for hedjaz (in nhm cat),,,,,,,
el toba is a synonym for campo del cielo (in nhm cat),,,,,,,
el tonocoté is a synonym for campo del cielo (in nhm cat),,,,,,,
el tule is a synonym for tule (in nhm cat),,,,,,,
elandsburg is a synonym for gibeon (in nhm cat),,,,,,,
elberton is a synonym for smithonia (in nhm cat),,,,,,,
elden is a synonym for canyon diablo (in nhm cat),,,,,,,
eldorado county is a synonym for shingle springs (in nhm cat),,,,,,,
eldorado creek is a synonym for skookum (in nhm cat),,,,,,,
elgueras is a synonym for cangas de onis (in nhm cat),,,,,,,
elida is a synonym for elida (a) (in nhm cat),,,,,,,
elisabethpol is a synonym for indarch (in nhm cat),,,,,,,
elisabethpol is a synonym for mighei (in nhm cat),,,,,,,
elizavetpol is a synonym for mighei (in nhm cat),,,,,,,
ellbogen is a synonym for elbogen (in nhm cat),,,,,,,
ellenboro is a synonym for colfax (in nhm cat),,,,,,,
elmo is a synonym for joe wright mountain (in nhm cat),,,,,,,
elsass is a synonym for ensisheim (in nhm cat),,,,,,,
elwell is a synonym for johnstown (in nhm cat),,,,,,,
emir is a synonym for krasnojarsk (in nhm cat),,,,,,,
emmet county is a synonym for estherville (in nhm cat),,,,,,,
emmetsburg is a synonym for emmitsburg (in nhm cat),,,,,,,
en naffatiyah 001 is a synonym for en naffatiyah (existing meteorite in new dca),,,,,,,
encantada is a synonym for putinga (in nhm cat),,,,,,,
enos is a synonym for gibeon (from metbase),,,,,,,
ensigahara is a synonym for kyushu (in nhm cat),,,,,,,
entre rios i is a synonym for chajari (in nhm cat),,,,,,,
entre rios ii is a synonym for hinojal (in nhm cat),,,,,,,
er rachidia 001 is a synonym for northwest africa 470 (from metbase),,,,,,,
er rachidia 002 is a synonym for northwest africa 471 (from metbase),,,,,,,
er rachidia 003 is a synonym for northwest africa 472 (from metbase),,,,,,,
er rachidia 004 is a synonym for northwest africa 473 (from metbase),,,,,,,
er rachidia 005 is a synonym for northwest africa 474 (from metbase),,,,,,,
er rachidia 006 is a synonym for northwest africa 475 (from metbase),,,,,,,
er rachidia 007 is a synonym for northwest africa 476 (from metbase),,,,,,,
er rachidia 008 is a synonym for northwest africa 477 (from metbase),,,,,,,
er rachidia 009 is a synonym for northwest africa 478 (from metbase),,,,,,,
erath county is a synonym for carlton (from metbase),,,,,,,
erenhot 001 is a synonym for erenhot (first meteorite in new dca),,,,,,,
erg ben kesbes is a synonym for ben kesbes 001 (from metbase),,,,,,,
erinpoorah is a synonym for bheenwal (in nhm cat),,,,,,,
erofeewka is a synonym for erofeevka (in nhm cat),,,,,,,
erokote is a synonym for erakot (in nhm cat),,,,,,,
eroth county (false) is a synonym for carlton (in nhm cat),,,,,,,
errachidia 001 is a synonym for errachidia (first meteorite in dca),,,,,,,
erx uben is a synonym for erxleben (in nhm cat),,,,,,,
eschigo is a synonym for yonozu (in nhm cat),,,,,,,
esna is a synonym for isna (in nhm cat),,,,,,,
essendy is a synonym for strathmore (in nhm cat),,,,,,,
estacade is a synonym for estacado (in nhm cat),,,,,,,
estland is a synonym for oesel (in nhm cat),,,,,,,
esu is a synonym for maridi (in nhm cat),,,,,,,
et-tlahi is a synonym for hedjaz (in nhm cat),,,,,,,
ezel is a synonym for oesel (in nhm cat),,,,,,,
faha is a synonym for limerick (in nhm cat),,,,,,,
fair oaks is a synonym for canyon diablo (in nhm cat),,,,,,,
fairbanks is a synonym for aggie creek (in nhm cat),,,,,,,
fairfield county is a synonym for weston (in nhm cat),,,,,,,
fairplay is a synonym for fair play (in nhm cat),,,,,,,
fairweather is a synonym for bridgewater (in nhm cat),,,,,,,
false eroth county is a synonym for carlton (in nhm cat),,,,,,,
false kalamaroo is a synonym for grand rapids (from metbase),,,,,,,
false kalamazoo is a synonym for grand rapids (in nhm cat),,,,,,,
false wittens is a synonym for eichstädt (in nhm cat),,,,,,,
false yanhuitlan is a synonym for misteca (in nhm cat),,,,,,,
fasti is a synonym for bialystok (in nhm cat),,,,,,,
fatehpur is a synonym for futtehpur (in nhm cat),,,,,,,
fawcett is a synonym for faucett (in nhm cat),,,,,,,
fayette county is a synonym for bluff (a) (in nhm cat),,,,,,,
fayetteville is a synonym for petersburg (in nhm cat),,,,,,,
fehrbellin is a synonym for linum (in nhm cat),,,,,,,
fej arrih is a synonym for nwa 6963 (approved by nomcom 24 oct 2012),,,,,,,
fekete is a synonym for mezö-madaras (in nhm cat),,,,,,,
feng is a synonym for fenghsien-ku (in nhm cat),,,,,,,
feng xian is a synonym for fenghsien-ku (from metbase),,,,,,,
fengxian is a synonym for fenghsien-ku (in nhm cat),,,,,,,
ferrara is a synonym for renazzo (in nhm cat),,,,,,,
ferrara is a synonym for trenzano (in nhm cat),,,,,,,
ferrara is a synonym for vigarano (in nhm cat),,,,,,,
fezzan is a synonym for oubari (in nhm cat),,,,,,,
fezzou (a) is a synonym for northwest africa 6235 (renamed nwa by action of nomcom 5/28/10),,,,,,,
fezzou (b) is a synonym for northwest africa 6236 (renamed nwa by action of nomcom 5/28/10),,,,,,,
filomena is a synonym for north chile (in nhm cat),,,,,,,
finmark is a synonym for finmarken (in nhm cat),,,,,,,
finnmarken is a synonym for finmarken (in nhm cat),,,,,,,
finsterhölzelries is a synonym for teplá (in nhm cat),,,,,,,
fischer is a synonym for fisher (in nhm cat),,,,,,,
fish river is a synonym for gibeon (in nhm cat),,,,,,,
fisher dip is a synonym for denman 002 (from metbase),,,,,,,
fisterhölzelries is a synonym for teplá (in nhm cat),,,,,,,
fiume potenza is a synonym for monte milone (in nhm cat),,,,,,,
flows is a synonym for monroe (in nhm cat),,,,,,,
floyd county is a synonym for indian valley (in nhm cat),,,,,,,
floyd mountain is a synonym for indian valley (in nhm cat),,,,,,,
floydada (a) is a synonym for floydada (in nhm cat),,,,,,,
foellinge is a synonym for föllinge (in nhm cat),,,,,,,
folersville is a synonym for staunton (in nhm cat),,,,,,,
fomatlan is a synonym for tomatlan (in nhm cat),,,,,,,
forest is a synonym for forest city (in nhm cat),,,,,,,
forestburg is a synonym for forestburg (a) (from metbase),,,,,,,
forli is a synonym for valdinoce (in nhm cat),,,,,,,
formosas is a synonym for uberaba (in nhm cat),,,,,,,
forrest (a) is a synonym for forrest 001 (in nhm cat),,,,,,,
forrest (b) is a synonym for forrest 002 (in nhm cat),,,,,,,
forrestcity is a synonym for forest city (in nhm cat),,,,,,,
forsyth is a synonym for mincy (in nhm cat),,,,,,,
fort duncan is a synonym for coahuila (in nhm cat),,,,,,,
fort dunkan is a synonym for coahuila (in nhm cat),,,,,,,
forte pierre is a synonym for fort pierre (in nhm cat),,,,,,,
fossil springs is a synonym for canyon diablo (in nhm cat),,,,,,,
foum agoutir 001 is a synonym for foum agoutir (first meteorite in dca),,,,,,,
foum tatahouine is a synonym for tatahouine (in nhm cat),,,,,,,
foum zguid 001 is a synonym for foum zguid (first meteorite in dca),,,,,,,
fouta senegalais is a synonym for siratik (in nhm cat),,,,,,,
framington is a synonym for farmington (in nhm cat),,,,,,,
francfort is a synonym for frankfort (iron) (in nhm cat),,,,,,,
franckfort is a synonym for frankfort (iron) (in nhm cat),,,,,,,
franklin county is a synonym for frankfort (iron) (in nhm cat),,,,,,,
franklin county is a synonym for frankfort (stone) (in nhm cat),,,,,,,
fransfontein is a synonym for gibeon (in nhm cat),,,,,,,
fraserburg is a synonym for jackalsfontein (in nhm cat),,,,,,,
frederick county is a synonym for emmitsburg (in nhm cat),,,,,,,
"fredericksburg is a synonym for richland (wasson et al. (2007) gca 71, 760-781)",,,,,,,
friedeburg is a synonym for friedland (in nhm cat),,,,,,,
friedrichsau is a synonym for grzempach (in nhm cat),,,,,,,
fuc bin is a synonym for phuoc-binh (in nhm cat),,,,,,,
fulton county is a synonym for rochester (in nhm cat),,,,,,,
furnas county is a synonym for norton county (in nhm cat),,,,,,,
fürstenberg is a synonym for menow (in nhm cat),,,,,,,
fyen is a synonym for fünen (in nhm cat),,,,,,,
fyn is a synonym for fünen (in nhm cat),,,,,,,
fynen is a synonym for fünen (in nhm cat),,,,,,,
g'day is a synonym for mundrabilla 020 (in nhm cat),,,,,,,
gabiano is a synonym for borgo san donino (in nhm cat),,,,,,,
gaillac is a synonym for favars (in nhm cat),,,,,,,
galapian is a synonym for agen (in nhm cat),,,,,,,
"galb inal 001 is a synonym for galb inal (nomcom disignated synonym, 31 mar 2016)",,,,,,,
galleguillos is a synonym for ternera (in nhm cat),,,,,,,
galleguitos is a synonym for ternera (in nhm cat),,,,,,,
gallipoli is a synonym for henbury (in nhm cat),,,,,,,
ganado is a synonym for canyon diablo (in nhm cat),,,,,,,
gancedo is a synonym for campo del cielo (in nhm cat),,,,,,,
gandom beryan 001 is a synonym for gandom beryan (first meteorite in dca),,,,,,,
ganigobis is a synonym for gibeon (from metbase),,,,,,,
gao is a synonym for gao-guenie (in nhm cat),,,,,,,
gao (upper volta) is a synonym for gao-guenie (in nhm cat),,,,,,,
gara ikhrarene is a synonym for ikhrarene (in nhm cat),,,,,,,
gargantillo is a synonym for tomatlan (in nhm cat),,,,,,,
garinais is a synonym for gibeon (from metbase),,,,,,,
garnet is a synonym for garnett (in nhm cat),,,,,,,
garrett county is a synonym for lonaconing (in nhm cat),,,,,,,
garz is a synonym for schellin (in nhm cat),,,,,,,
gawler range is a synonym for yardea (in nhm cat),,,,,,,
geluksfontein is a synonym for cronstad (in nhm cat),,,,,,,
gent is a synonym for st. denis westrem (in nhm cat),,,,,,,
gera is a synonym for pohlitz (in nhm cat),,,,,,,
gerano is a synonym for orvinio (in nhm cat),,,,,,,
gettysburg is a synonym for mount joy (in nhm cat),,,,,,,
ghanim is a synonym for al-ghanim (iron) (in nhm cat),,,,,,,
ghanim is a synonym for al-ghanim (stone) (in nhm cat),,,,,,,
ghazeepore is a synonym for mhow (in nhm cat),,,,,,,
ghent is a synonym for st. denis westrem (in nhm cat),,,,,,,
ghoordha is a synonym for moti-ka-nagla (in nhm cat),,,,,,,
ghubara (1954) is a synonym for ghubara (in nhm cat),,,,,,,
ghubara (1962) is a synonym for jiddat al harasis (in nhm cat),,,,,,,
gibb's meteorite is a synonym for red river (in nhm cat),,,,,,,
gibon is a synonym for gibeon (in nhm cat),,,,,,,
gilgoin station is a synonym for gilgoin (in nhm cat),,,,,,,
gilpin county is a synonym for russel gulch (in nhm cat),,,,,,,
gindorcha is a synonym for indarch (in nhm cat),,,,,,,
girger is a synonym for khor temiki (in nhm cat),,,,,,,
girghenti is a synonym for girgenti (in nhm cat),,,,,,,
girona is a synonym for gerona (in nhm cat),,,,,,,
gjilatelke is a synonym for mocs (in nhm cat),,,,,,,
glasgow is a synonym for high possil (in nhm cat),,,,,,,
glasotovo is a synonym for glasatovo (in nhm cat),,,,,,,
glen helen is a synonym for henbury (in nhm cat),,,,,,,
glen rose (b) is a synonym for squaw creek (from metbase),,,,,,,
glen rose (stone) is a synonym for rosebud (in nhm cat),,,,,,,
glindorcha is a synonym for indarch (in nhm cat),,,,,,,
glorieta is a synonym for glorieta mountain (in nhm cat),,,,,,,
glorietta mountain is a synonym for glorieta mountain (in nhm cat),,,,,,,
gnarrenburg is a synonym for bremervörde (in nhm cat),,,,,,,
gnubara is a synonym for ghubara (in nhm cat),,,,,,,
goamus farm is a synonym for gibeon (in nhm cat),,,,,,,
goldbach's iron is a synonym for yanhuitlan (in nhm cat),,,,,,,
gor lefcah is a synonym for oum dreyga (mb89),,,,,,,
gorakhpur is a synonym for pokhra (in nhm cat),,,,,,,
gorizia is a synonym for avce (in nhm cat),,,,,,,
goruckpur is a synonym for bustee (in nhm cat),,,,,,,
goruckpur is a synonym for butsura (in nhm cat),,,,,,,
goruckpur is a synonym for supuhee (in nhm cat),,,,,,,
goruckpur is a synonym for dandapur (in nhm cat),,,,,,,
gorukhpur is a synonym for butsura (in nhm cat),,,,,,,
gorukhur is a synonym for butsura (in nhm cat),,,,,,,
gorukpur is a synonym for butsura (in nhm cat),,,,,,,
gosnells is a synonym for mount dooling (in nhm cat),,,,,,,
gostkowo is a synonym for pultusk (in nhm cat),,,,,,,
gotha is a synonym for steinbach (from metbase),,,,,,,
gotha is a synonym for tabarz (in nhm cat),,,,,,,
götzeroth is a synonym for simmern (from metbase),,,,,,,
grady (no. 1) is a synonym for grady (1933) (in nhm cat),,,,,,,
grady (no. 2) is a synonym for grady (1937) (in nhm cat),,,,,,,
grady (no. 3) is a synonym for grady (c) (in nhm cat),,,,,,,
graham county is a synonym for morland (in nhm cat),,,,,,,
gran chaco (iron) is a synonym for campo del cielo (in nhm cat),,,,,,,
gran chaco (pallasite) is a synonym for imilac (in nhm cat),,,,,,,
gran chaco gualamba is a synonym for campo del cielo (in nhm cat),,,,,,,
gran chaco i is a synonym for campo del cielo (in nhm cat),,,,,,,
gran chaco ii is a synonym for campo del cielo (in nhm cat),,,,,,,
granada is a synonym for colomera (in nhm cat),,,,,,,
granès is a synonym for granes (from metbase),,,,,,,
granite peak is a synonym for wiluna (in nhm cat),,,,,,,
grants is a synonym for grant (in nhm cat),,,,,,,
granview is a synonym for grandview (typo in prerelease of mb95),,,,,,,
grasse is a synonym for la caille (in nhm cat),,,,,,,
graves is a synonym for moore county (in nhm cat),,,,,,,
grayton beach is a synonym for grayton (from metbase),,,,,,,
great fish river is a synonym for gibeon (in nhm cat),,,,,,,
great fish river is a synonym for cape of good hope (in nhm cat),,,,,,,
great namaqualand is a synonym for gibeon (in nhm cat),,,,,,,
greeley county is a synonym for ladder creek (in nhm cat),,,,,,,
greene county is a synonym for babb's mill (blake's iron) (in nhm cat),,,,,,,
grenade is a synonym for toulouse (in nhm cat),,,,,,,
grimma is a synonym for steinbach (in nhm cat),,,,,,,
grimma is a synonym for naunhof (in nhm cat),,,,,,,
griqualand is a synonym for orange river (iron) (in nhm cat),,,,,,,
griqualand is a synonym for daniel's kuil (in nhm cat),,,,,,,
groenewald is a synonym for benoni (in nhm cat),,,,,,,
groenewald-benoni is a synonym for benoni (in nhm cat),,,,,,,
gröndorn is a synonym for gibeon (in nhm cat),,,,,,,
grootfontein is a synonym for hoba (in nhm cat),,,,,,,
grosnaia is a synonym for grosnaja (in nhm cat),,,,,,,
grossnamaqualand is a synonym for gibeon (in nhm cat),,,,,,,
groznaia is a synonym for grosnaja (in nhm cat),,,,,,,
groznaja is a synonym for grosnaja (in nhm cat),,,,,,,
groznaya is a synonym for grosnaja (in nhm cat),,,,,,,
gruever is a synonym for gruver (in nhm cat),,,,,,,
grünberg is a synonym for grady (1937) (in nhm cat),,,,,,,
grünberg is a synonym for grüneberg (in nhm cat),,,,,,,
grzempy is a synonym for grzempach (in nhm cat),,,,,,,
guadalupe is a synonym for rancho de la pila (1882) (in nhm cat),,,,,,,
guadalupe (of karavinsky) is a synonym for rancho de la pila (1882) (from metbase),,,,,,,
guadelupe y calvo is a synonym for guadalupe y calvo (from metbase),,,,,,,
gualalupe (of karavinsky) is a synonym for rancho de la pila (1882) (in nhm cat),,,,,,,
guanghua wudan shan is a synonym for guanghua (in nhm cat),,,,,,,
"guangxi coal mine is a synonym for nantan (in wasson & kallemeyn (2002) gca 66, 2445–2473)",,,,,,,
guatemala is a synonym for chinautla (in nhm cat),,,,,,,
guc is a synonym for guêa (in nhm cat),,,,,,,
guenie is a synonym for gao-guenie (in nhm cat),,,,,,,
guernsey county is a synonym for new concord (in nhm cat),,,,,,,
guetersloh is a synonym for gütersloh (in nhm cat),,,,,,,
gumashnik is a synonym for gumoschnik (in nhm cat),,,,,,,
gumuruh is a synonym for bandong (in nhm cat),,,,,,,
gurdha is a synonym for moti-ka-nagla (from metbase),,,,,,,
gúrdha is a synonym for moti-ka-nagla (in nhm cat),,,,,,,
gurkpur is a synonym for butsura (in nhm cat),,,,,,,
gurukpur is a synonym for butsura (in nhm cat),,,,,,,
gutsch is a synonym for guêa (in nhm cat),,,,,,,
gwarzo is a synonym for kabo (in nhm cat),,,,,,,
gyulateke is a synonym for mocs (in nhm cat),,,,,,,
gyulatelke is a synonym for mocs (in nhm cat),,,,,,,
hachiman is a synonym for gifu (in nhm cat),,,,,,,
hachioji is a synonym for hachi-oji (from metbase),,,,,,,
hacienda concepcion is a synonym for chupaderos (in nhm cat),,,,,,,
hacienda de bocas is a synonym for bocas (in nhm cat),,,,,,,
hacienda de potosi is a synonym for coahuila (in nhm cat),,,,,,,
hacienda di mani is a synonym for toluca (in nhm cat),,,,,,,
hainant is a synonym for hainaut (in nhm cat),,,,,,,
hakata is a synonym for higashi-koen (in nhm cat),,,,,,,
hale county is a synonym for plainview (1917) (in nhm cat),,,,,,,
haleb is a synonym for aleppo (in nhm cat),,,,,,,
hamada du draa is a synonym for el hammami (in nhm cat),,,,,,,
hamada du guir (no.1) is a synonym for acfer 011 (from metbase),,,,,,,
hamadet el atchane 001 is a synonym for el atchane 001 (from metbase),,,,,,,
hamadet el atchane 002 is a synonym for el atchane 002 (from metbase),,,,,,,
hamadet el atchane 003 is a synonym for el atchane 003 (from metbase),,,,,,,
hamadet el atchane 004 is a synonym for el atchane 004 (from metbase),,,,,,,
hamadet el atchane 005 is a synonym for el atchane 005 (from metbase),,,,,,,
hamadet el atchane 006 is a synonym for el atchane 006 (from metbase),,,,,,,
hamadet el atchane 007 is a synonym for el atchane 007 (from metbase),,,,,,,
hamadet el atchane 008 is a synonym for el atchane 008 (from metbase),,,,,,,
hamadet el atchane 009 is a synonym for el atchane 009 (from metbase),,,,,,,
hamblen county is a synonym for morristown (in nhm cat),,,,,,,
hamersley is a synonym for roebourne (in nhm cat),,,,,,,
hamersley range is a synonym for roebourne (in nhm cat),,,,,,,
hami is a synonym for alatage (in nhm cat),,,,,,,
hami is a synonym for qijiaojing (mb 100),,,,,,,
hami 021 is a synonym for hami 020 (deleted duplicate meteorite),,,,,,,
hamilton is a synonym for hamilton (queensland) (in nhm cat),,,,,,,
hamilton county is a synonym for brenham (in nhm cat),,,,,,,
hamilton county is a synonym for carlton (in nhm cat),,,,,,,
hamilton hotel is a synonym for henbury (in nhm cat),,,,,,,
hamilton station is a synonym for hamilton (queensland) (in nhm cat),,,,,,,
hammersley is a synonym for roebourne (in nhm cat),,,,,,,
hammersley range is a synonym for roebourne (in nhm cat),,,,,,,
hanakai is a synonym for kyushu (in nhm cat),,,,,,,
hanakita is a synonym for kyushu (in nhm cat),,,,,,,
hapur is a synonym for bahjoi (in nhm cat),,,,,,,
hariya is a synonym for dokachi (in nhm cat),,,,,,,
harliton is a synonym for harleton (in nhm cat),,,,,,,
harrison county is a synonym for cynthiana (in nhm cat),,,,,,,
hart range is a synonym for boxhole (in nhm cat),,,,,,,
hartford is a synonym for marion (iowa) (in nhm cat),,,,,,,
haruchas is a synonym for gibeon (in nhm cat),,,,,,,
harvard university is a synonym for vaca muerta (in nhm cat),,,,,,,
hassi bou talha 001 is a synonym for hassi bou talha (first meteorite in dca),,,,,,,
hassi messauod is a synonym for hassi messaoud (original misspelled name),,,,,,,
hassi-iekna is a synonym for hassi-jekna (in nhm cat),,,,,,,
hassi-katham (no.2) is a synonym for acfer 010 (from metbase),,,,,,,
hässle is a synonym for hessle (in nhm cat),,,,,,,
hastings county is a synonym for madoc (in nhm cat),,,,,,,
hataya is a synonym for shiraiwa (in nhm cat),,,,,,,
hati-ozi is a synonym for hachi-oji (in nhm cat),,,,,,,
hauptmannsdorf is a synonym for braunau (in nhm cat),,,,,,,
haute volta is a synonym for béréba (in nhm cat),,,,,,,
haveroe is a synonym for haverö (from metbase),,,,,,,
haviland is a synonym for brenham (in nhm cat),,,,,,,
haviland (stone) is a synonym for haviland (a) (in nhm cat; metbase says haviland (b) - prob wrong),,,,,,,
haviland township is a synonym for brenham (in nhm cat),,,,,,,
hawaii is a synonym for honolulu (in nhm cat),,,,,,,
hay is a synonym for eli elwah (in nhm cat),,,,,,,
hay is a synonym for pevensey (in nhm cat),,,,,,,
hayami is a synonym for tané (in nhm cat),,,,,,,
haywood county is a synonym for ferguson (in nhm cat),,,,,,,
heat shield rock is a synonym for meridiani planum (mb90),,,,,,,
hebei (iron) is a synonym for shangdu (in nhm cat),,,,,,,
hebrides is a synonym for tiree (in nhm cat),,,,,,,
heinrichau is a synonym for grüneberg (in nhm cat),,,,,,,
hejaz is a synonym for hedjaz (in nhm cat),,,,,,,
helt township is a synonym for canyon diablo (in nhm cat),,,,,,,
hembury is a synonym for henbury (in nhm cat),,,,,,,
henry county is a synonym for hopper (in nhm cat),,,,,,,
henry county is a synonym for locust grove (in nhm cat),,,,,,,
hentey is a synonym for khenteisky (in nhm cat),,,,,,,
herceg is a synonym for dubrovnik (in nhm cat),,,,,,,
hercegnovi is a synonym for dubrovnik (in nhm cat),,,,,,,
herlen is a synonym for kerulensky (in nhm cat),,,,,,,
hermadale is a synonym for hermitage plains (in nhm cat),,,,,,,
hermidale is a synonym for hermitage plains (in nhm cat),,,,,,,
hermitage is a synonym for diep river (in nhm cat),,,,,,,
heze is a synonym for hotse (in nhm cat),,,,,,,
heze is a synonym for juancheng (in nhm cat),,,,,,,
hidalgo is a synonym for pacula (in nhm cat),,,,,,,
highland county is a synonym for pricetown (in nhm cat),,,,,,,
hill's stone is a synonym for travis county (a) (in nhm cat),,,,,,,
hiokomo is a synonym for fukutomi (in nhm cat),,,,,,,
hiquipilco is a synonym for toluca (in nhm cat),,,,,,,
hiromi is a synonym for gifu (in nhm cat),,,,,,,
hishikari is a synonym for kyushu (in nhm cat),,,,,,,
hishugari is a synonym for kyushu (in nhm cat),,,,,,,
hisikari is a synonym for kyushu (in nhm cat),,,,,,,
hislugari is a synonym for kyushu (in nhm cat),,,,,,,
hizen is a synonym for ogi (in nhm cat),,,,,,,
hmeljevka is a synonym for khmelevka (from metbase),,,,,,,
hmeljovka is a synonym for khmelevka (in nhm cat),,,,,,,
hoba wes is a synonym for hoba (in nhm cat),,,,,,,
hoba west is a synonym for hoba (in nhm cat),,,,,,,
hobart west is a synonym for hoba (in nhm cat),,,,,,,
hobbs (a) is a synonym for hobbs (in nhm cat),,,,,,,
hobdo is a synonym for adzhi-bogdo (stone) (in nhm cat),,,,,,,
hoboksar 002 is a synonym for hoboksar 001 (hoboksar 002 was a duplicate of 001),,,,,,,
hochscheid is a synonym for simmern (in nhm cat),,,,,,,
hoekmark is a synonym for hökmark (in nhm cat),,,,,,,
hofmeyer is a synonym for karee kloof (in nhm cat),,,,,,,
hohenlangenbeck is a synonym for salzwedel (from metbase),,,,,,,
hojsin is a synonym for pribram (from metbase),,,,,,,
holata is a synonym for holetta (in nhm cat),,,,,,,
hollmayer no. 5 is a synonym for menindee lakes 005 (from metbase),,,,,,,
hollmayer no. 6 is a synonym for menindee lakes 006 (from metbase),,,,,,,
honduras is a synonym for rosario (in nhm cat),,,,,,,
honey creek is a synonym for odessa (iron) (in nhm cat),,,,,,,
hopewell mounds is a synonym for brenham (in nhm cat),,,,,,,
horace (no. 1) (2.9kg) is a synonym for ladder creek (in nhm cat),,,,,,,
horace (no. 2) (9.2kg) is a synonym for horace (in nhm cat),,,,,,,
horace (no. 2) (in part) is a synonym for ladder creek (in nhm cat),,,,,,,
horlick mountains is a synonym for thiel mountains (in nhm cat),,,,,,,
horowitz is a synonym for zebrak (in nhm cat),,,,,,,
hosjsin is a synonym for pribram (in nhm cat),,,,,,,
hotsu is a synonym for hotse (in nhm cat),,,,,,,
houck is a synonym for canyon diablo (in nhm cat),,,,,,,
howard county is a synonym for kokomo (in nhm cat),,,,,,,
hozowitz is a synonym for zebrak (in nhm cat),,,,,,,
hrascina is a synonym for hraschina (in nhm cat),,,,,,,
hrasina is a synonym for hraschina (in nhm cat),,,,,,,
hressk is a synonym for gressk (in nhm cat),,,,,,,
hualapai is a synonym for wallapai (in nhm cat),,,,,,,
huanilla is a synonym for vaca muerta (in nhm cat),,,,,,,
hubei is a synonym for hebei (from metbase),,,,,,,
huckitte is a synonym for huckitta (in nhm cat),,,,,,,
huejuquilla is a synonym for chupaderos (in nhm cat),,,,,,,
huejuquilla is a synonym for morito (in nhm cat),,,,,,,
huejuquilla is a synonym for sierra blanca (in nhm cat),,,,,,,
huejuquilla is a synonym for tule (in nhm cat),,,,,,,
huesca is a synonym for roda (in nhm cat),,,,,,,
hughes 91015 is a synonym for hughes 005 (from metbase),,,,,,,
hughes 91016 is a synonym for hughes 007 (from metbase),,,,,,,
hughes dip 91002 is a synonym for hughes 004 (from metbase),,,,,,,
hugo (iron) is a synonym for soper (in nhm cat),,,,,,,
huittinen is a synonym for hvittis (in nhm cat),,,,,,,
hukue is a synonym for fukue (in nhm cat),,,,,,,
hukutomi is a synonym for fukutomi (in nhm cat),,,,,,,
hukuye is a synonym for fukue (in nhm cat),,,,,,,
humboldt iron is a synonym for morito (in nhm cat),,,,,,,
humoshnik is a synonym for gumoschnik (in nhm cat),,,,,,,
