Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",,
Yamato 790045,Y-790045,Official,,1979,Antarctica,H5,23 g,104,J24 NIPR,,,
Yamato 790046,Y-790046,Provisional,,1979,Antarctica,Stone-uncl,2.88 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790047,Y-790047,Official,,1979,Antarctica,H4,46.1 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790048,Y-790048,Provisional,,1979,Antarctica,Stone-uncl,14.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790049,Y-790049,Provisional,,1979,Antarctica,Stone-uncl,22.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790050,Y-790050,Provisional,,1979,Antarctica,Stone-uncl,14.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790051,Y-790051,Provisional,,1979,Antarctica,Stone-uncl,40.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790052,Y-790052,Provisional,,1979,Antarctica,Stone-uncl,50.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790053,Y-790053,Provisional,,1979,Antarctica,Stone-uncl,30 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790054,Y-790054,Provisional,,1979,Antarctica,Stone-uncl,18.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790055,Y-790055,Provisional,,1979,Antarctica,Stone-uncl,20.9 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790056,Y-790056,Provisional,,1979,Antarctica,Stone-uncl,24.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790057,Y-790057,Provisional,,1979,Antarctica,Stone-uncl,14.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790058,Y-790058,Provisional,,1979,Antarctica,Stone-uncl,14.2 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790059,Y-790059,Provisional,,1979,Antarctica,Stone-uncl,12.6 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790060,Y-790060,Provisional,,1979,Antarctica,Stone-uncl,17.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790061,Y-790061,Provisional,,1979,Antarctica,Stone-uncl,11 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790062,Y-790062,Provisional,,1979,Antarctica,Stone-uncl,14 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790063,Y-790063,Provisional,,1979,Antarctica,Stone-uncl,15.1 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790064,Y-790064,Official,,1979,Antarctica,LL,11.5 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790065,Y-790065,Official,,1979,Antarctica,H4,13.9 g,,J6(1) NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790066,Y-790066,Official,,1979,Antarctica,H4,10.3 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790067,Y-790067,Official,,1979,Antarctica,H4,9.8 g,, NIPR,"(-71.500000, 35.666670)  ",,
Yamato 790068,Y-790068,Official,,1979,Antarctica,H4,14.4 g,, NIPR,"(-71.500000, 35.666670)  ",,
