Name,Abbrev,Status,Fall,Year,Place,Type,Mass,MetBull,Antarctic,"(Lat,Long)",Notes,,,
Kindberg **,,Official,Yc,2020,"Steiermark, Austria",L6,233 g,110,,"(47.516670, 15.433330)  ",,,"(47.516670, 15.433330)  ","(47.516670, 15.433330)  "
Kolang **,,Official,Yc,2020,"Sumatera Utara, Indonesia",CM1/2,2.55 kg,109,,"(1.888560, 98.661000)  ",,,"(1.888560, 98.661000)  ","(1.888560, 98.661000)  "
Kounadja **,,Official,Np,2020,"Mopti, Mali","Iron, IVA",16.75 kg,113,,"(14.960500, -2.960000)  ",,,"(14.960500, -2.960000)  ","(14.960500, -2.960000)  "
Krest-Kytyl **,,Official,,2020,"Respublika Sakha(Yakutiya), Russia",H5,57 kg,110,,"(62.646670, 129.713330)  ",,,"(62.646670, 129.713330)  ","(62.646670, 129.713330)  "
Ksar Ghilane 020 **,KG 020,Official,,2020,"Quibili, Tunisia",H6,96 g,110,,"(32.883190, 9.918920)  ",,,"(32.883190, 9.918920)  ","(32.883190, 9.918920)  "
Ksar Ghilane 021,KG 021,Official,,2020,"Quibili, Tunisia",H5,167 g,110,,"(32.891360, 9.912860)  ",,,"(32.891360, 9.912860)  ","(32.891360, 9.912860)  "
Kumtag 064 **,,Official,,2020,"Xinjiang, China",L6,470 g,109,,"(41.432500, 93.493610)  ",,,"(41.432500, 93.493610)  ","(41.432500, 93.493610)  "
Lahmada 048 **,,Official,,2020,"Saguia el Hamra, Western Sahara",Ureilite,59 g,110,,"(27.405770, -9.853630)  ",,,"(27.405770, -9.853630)  ","(27.405770, -9.853630)  "
Lahmada 049 **,,Official,,2020,"Saguia el Hamra, Western Sahara",Pallasite,1000 g,111,,"(27.400830, -9.048610)  ",,,"(27.400830, -9.048610)  ","(27.400830, -9.048610)  "
Los Vientos 385 **,LoV 385,Official,,2020,"Antofagasta, Chile",Ureilite,65 g,109,,"(-24.683330, -69.766670)  ",,,"(-24.683330, -69.766670)  ","(-24.683330, -69.766670)  "
Los Vientos 386 **,LoV 386,Official,,2020,"Antofagasta, Chile",Eucrite,1946 g,109,,"(-24.683330, -69.766670)  ",,,"(-24.683330, -69.766670)  ","(-24.683330, -69.766670)  "
