name,reclass,mass,fall,year,latitude,longitude,coordinates,,decade,address,ccode,country
lut 019,l6§,13 kg,,2020,30.92128,58.71741,"30.921280, 58.717410",,2010,"kerman, iran",IR,"Iran, Islamic Republic of"
madura cave **,l5,1072 g,,2020,-31.96557,126.98438,"-31.965570, 126.984380",,2010,"western australia, australia",AU,Australia
marsa alam 020,h5,285 g,,2020,25.07633,34.861,"25.076330, 34.861000",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 021,h5,9.8 g,,2020,25.32467,34.7215,"25.324670, 34.721500",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 022,h5,65.7 g,,2020,25.32183,34.72633,"25.321830, 34.726330",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 023,h5,7.7 g,,2020,25.325,34.72117,"25.325000, 34.721170",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 024,h5,8.3 g,,2020,25.009,34.9025,"25.009000, 34.902500",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 025,h5,34.5 g,,2020,24.7155,35.03117,"24.715500, 35.031170",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 026,h5,28.5 g,,2020,24.924,34.9255,"24.924000, 34.925500",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 027,h5,46 g,,2020,24.92417,34.92617,"24.924170, 34.926170",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 028,l6,21.7 g,,2020,24.92567,34.91417,"24.925670, 34.914170",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 029,l5,0.87 g,,2020,25.12717,34.83367,"25.127170, 34.833670",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 030,h5,325 g,,2020,25.09983,34.84933,"25.099830, 34.849330",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 031,h5,87 g,,2020,24.70967,35.02483,"24.709670, 35.024830",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 032 **,h6,8.8 g,,2020,25.11962,34.82574,"25.119620, 34.825740",,2010,"al bahr al ahmar, egypt",EG,Egypt
marsa alam 033 **,h5,52 g,,2020,24.92798,34.93102,"24.927980, 34.931020",,2010,"al bahr al ahmar, egypt",EG,Egypt
mdaouer 002 **,l6-melt breccia,95 g,,2020,29.84556,-6.92972,"29.845560, -6.929720",,2010,morocco,MA,Morocco
monte costone **,h5,224 g,,2020,45.77617,9.72167,"45.776170, 9.721670",,2010,"lombardia, italy",IT,Italy
narashino **,h5,350 g,,2020,35.69056,140.03083,"35.690560, 140.030830",,2010,"kanto, japan",JP,Japan
niuquanhu 001 **,l5§,3.2 kg,,2020,43.96453,94.49366,"43.964530, 94.493660",,2010,"xinjiang, china",CN,China
northeast africa 009 **,martian (shergottite),245 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 011 **,martian (shergottite),161.2 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 013 **,diogenite,3.25 kg,,2020,0,0,,,2010,(northeast africa),N/A,Ocean/Unknown
northeast africa 014 **,lunar (feldsp. breccia),1601 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 015 **,martian (shergottite),610 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 017 **,diogenite-pm,275 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 018 **,ll3,748 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 020 **,ll4-7,167 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 021 **,ll3,99.7 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 022 **,ll3,694 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 023 **,ll7,486 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 024 **,ll3,98.6 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 026 **,co3,176 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 028 **,co3,93 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 033 **,l5,252 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northeast africa 034 **,ll3,253 g,,2020,0,0,,,2010,libya,N/A,Ocean/Unknown
northwest africa 13202 **,chondrite-ung,396 g,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
northwest africa 13203 **,l4,6.98 kg,,2020,0,0,,,2010,(northwest africa),N/A,Ocean/Unknown
